n_topicos,cv_scores,umass_scores,perplexity_scores,uci_scores
2,0.34272998047196945,-1.127581250886533,-7.53624481738019,-7.510653504970883
3,0.335296895774317,-1.115152641610875,-7.59796693553133,-6.814445803221878
4,0.3662852308956067,-1.1593284390278797,-7.643641347501425,-7.800299037611184
5,0.4819106309155362,-1.0737077541463882,-7.68345141918885,-8.101715383498526
6,0.3802114700315565,-1.8288108307929203,-7.686716245668219,-8.26553745291544
7,0.5062413113721992,-1.1939516934769507,-7.73951131034647,-8.244485861205264
8,0.4724875717070142,-1.4096789274832457,-7.753065932558359,-7.848215798973636
9,0.5163621427505136,-1.332602941682746,-7.758976141589724,-7.924681833832695
10,0.4708933613539319,-1.2978280691873583,-7.779648230570013,-7.911895169836098
11,0.5716339361259973,-1.2179517450595854,-7.773091748511851,-7.8620034207374605
12,0.5253055954925036,-1.238873260479825,-7.797754868569722,-8.1382087113265
13,0.5090614107760574,-1.2699302012206588,-7.822601740603164,-8.164463787870961
14,0.4903468285323009,-1.3332175433565348,-7.85329983752726,-8.13152385661043
15,0.47896379746228807,-1.448931008061263,-7.87090693542777,-8.356513974372914
16,0.5743625223071309,-1.3971928618596312,-7.877345070919556,-7.915536666217549
17,0.4969573770916502,-1.5472530371976196,-7.918861087056689,-7.279503344929135
18,0.4872521285849991,-1.63546524020711,-7.91635426522272,-7.52381097684361
19,0.4989078108283417,-1.6235995835007195,-7.940222240872906,-7.459553542683864
20,0.5024106708090011,-1.498057196838103,-7.967032257306655,-8.01141617353807
21,0.4881276274324587,-1.520167739424365,-7.994483118663363,-7.581203617977105
22,0.5128511981030878,-1.4330129219628847,-7.993774732311238,-8.64229763743147
23,0.4446689072666071,-1.5742010158845472,-7.996502725581562,-8.11777316783594
24,0.5033737987136123,-1.4342793685270634,-8.036205494746108,-8.219732037551227
25,0.4729618208978465,-1.6065892278905756,-8.038709315806477,-7.8897546886388366
26,0.4632126912903759,-1.634181938574399,-8.067011089159376,-8.03135096797606
27,0.4671893366906248,-1.5543349466468768,-8.084632075200966,-8.463908385234642
28,0.46734993918288864,-1.6524006611245932,-8.11215331361512,-7.982680126009908
29,0.49285351518558074,-1.9408372518032069,-8.087051423377051,-6.821140598606806
